Day,Group,Exercise,Minutes,Calories Burned
2023-08-15,Uncategorized,Resistance Training,30.0,-90.19
2023-08-15,Uncategorized,General Walking,37.0,-166.29
2023-08-15,Uncategorized,General Walking,24.0,-107.87
2023-08-16,Uncategorized,Video Yoga,25.0,-38.44
2023-08-16,Uncategorized,"Treadmill Walking, Moderate",62.0,-183.32
2023-08-17,Uncategorized,"Treadmill Walking, Moderate",42.0,-124.19
2023-08-17,Uncategorized,Resistance Training,25.0,-73.92
2023-08-17,Uncategorized,General Walking,30.0,-134.83
2023-08-18,Uncategorized,"Treadmill Walking, Moderate",74.0,-218.81
2023-08-18,Uncategorized,General Walking,21.0,-94.38
2023-08-19,Uncategorized,General Walking,73.0,-328.09
2023-08-19,Uncategorized,Resistance Training,30.0,-88.71
2023-08-20,Uncategorized,General Walking,59.0,-265.17
2023-08-21,Uncategorized,"Treadmill Walking, Moderate",75.0,-221.76
2023-08-21,Uncategorized,Resistance Training,30.0,-88.71
2023-08-22,Uncategorized,General Walking,55.0,-247.19
2023-08-23,Uncategorized,"Treadmill Walking, Moderate",85.0,-251.33
2023-08-23,Uncategorized,Resistance Training,30.0,-88.71
2023-08-24,Uncategorized,"Treadmill Walking, Moderate",71.0,-209.94
2023-08-25,Uncategorized,General Walking,52.0,-233.71
2023-08-26,Uncategorized,General Walking,66.0,-289.07
2023-08-26,Uncategorized,Resistance Training,30.0,-88.71
2023-08-27,Uncategorized,General Walking,71.0,-310.97
2023-08-28,Uncategorized,"Treadmill Walking, Moderate",64.0,-184.41
2023-08-28,Uncategorized,General Walking,20.0,-88.44
2023-08-29,Uncategorized,General Walking,56.0,-247.63
2023-08-29,Uncategorized,General Walking,29.0,-128.24
2023-08-30,Uncategorized,Resistance Training,30.0,-88.71
2023-08-30,Uncategorized,"Treadmill Walking, Moderate",75.0,-218.19
2023-08-31,Uncategorized,General Walking,56.0,-247.63
2023-08-31,Uncategorized,Resistance Training,30.0,-88.71
2023-09-01,Uncategorized,"Treadmill Walking, Moderate",66.0,-190.18
2023-09-02,Uncategorized,Resistance Training,30.0,-88.71
2023-09-02,Uncategorized,General Walking,24.0,-105.12
2023-09-03,Uncategorized,General Walking,72.0,-315.35
2023-09-04,Uncategorized,General Walking,64.0,-280.31
2023-09-04,Uncategorized,Resistance Training,30.0,-88.71
2023-09-05,Uncategorized,General Walking,24.0,-105.12
2023-09-06,Uncategorized,General Walking,52.0,-227.75
2023-09-06,Uncategorized,General Walking,32.0,-140.15
2023-09-07,Uncategorized,Resistance Training,30.0,-88.71
2023-09-07,Uncategorized,"Treadmill Walking, Moderate",47.0,-135.43
2023-09-07,Uncategorized,General Walking,24.0,-105.12
2023-09-08,Uncategorized,"Treadmill Walking, Moderate",79.0,-228.57
2023-09-09,Uncategorized,General Walking,53.0,-233.09
2023-09-09,Uncategorized,Resistance Training,30.0,-88.71
2023-09-10,Uncategorized,Power Yoga,35.0,-121.52
2023-09-11,Uncategorized,"Treadmill Walking, Moderate",61.0,-176.49
2023-09-11,Uncategorized,Resistance Training,30.0,-88.71
2023-09-10,Uncategorized,"Treadmill Walking, Moderate",56.0,-162.03
2023-09-12,Uncategorized,"Treadmill Walking, Moderate",58.0,-167.81
2023-09-13,Uncategorized,General Walking,52.0,-228.69
2023-09-13,Uncategorized,General Walking,20.0,-87.96
2023-09-19,Uncategorized,Resistance Training,30.0,-88.71
2023-09-19,Uncategorized,"Treadmill Walking, Moderate",58.0,-167.81
2023-09-20,Uncategorized,General Walking,23.0,-102.82
2023-09-20,Uncategorized,"Treadmill Walking, Moderate",58.0,-167.81
2023-09-21,Uncategorized,General Walking,28.0,-125.17
2023-09-21,Uncategorized,"Treadmill Walking, Moderate",58.0,-167.81
2023-09-22,Uncategorized,"Treadmill Walking, Moderate",47.0,-135.61
2023-09-22,Uncategorized,General Walking,27.0,-118.42
2023-09-23,Uncategorized,General Walking,54.0,-236.83
2023-09-23,Uncategorized,Resistance Training,30.0,-88.71
2023-09-25,Uncategorized,"Treadmill Walking, Moderate",65.0,-187.55
2023-09-26,Uncategorized,Video Group Classes,30.0,-103.87
2023-09-26,Uncategorized,"Treadmill Walking, Moderate",53.0,-152.93
2023-09-26,Uncategorized,General Walking,20.0,-87.72
2023-09-27,Uncategorized,General Walking,21.0,-92.1
2023-09-28,Uncategorized,Video Group Classes,30.0,-103.87
2023-09-28,Uncategorized,Resistance Training,30.0,-88.71
2023-09-28,Uncategorized,"Treadmill Walking, Moderate",48.0,-138.5
2023-09-29,Uncategorized,General Walking,22.0,-96.49
2023-10-02,Uncategorized,"Treadmill Walking, Moderate",63.0,-181.78
2023-10-03,Uncategorized,"Treadmill Walking, Moderate",48.0,-138.5
2023-10-03,Uncategorized,General Walking,23.0,-100.87
2023-10-03,Uncategorized,Resistance Training,30.0,-88.71
2023-10-04,Uncategorized,"Treadmill Walking, Moderate",48.0,-138.5
2023-10-04,Uncategorized,General Walking,22.0,-96.49
2023-10-05,Uncategorized,Video Group Classes,30.0,-103.87
2023-10-05,Uncategorized,Running General,42.0,-290.85
